package,version,wheel_filename,sha256,pypi_files_url,pip_command
aiosignal,1.4.0,aiosignal-1.4.0-py3-none-any.whl,053243f8b92b990551949e63930a839ff0cf0b0ebbe0597b0f3fb19e1a0fe82e,https://pypi.org/project/aiosignal/1.4.0/#files,pip download aiosignal==1.4.0 --no-deps
anyio,4.13.0,anyio-4.13.0-py3-none-any.whl,08b310f9e24a9594186fd75b4f73f4a4152069e3853f1ed8bfbf58369f4ad708,https://pypi.org/project/anyio/4.13.0/#files,pip download anyio==4.13.0 --no-deps
arrow,1.4.0,arrow-1.4.0-py3-none-any.whl,749f0769958ebdc79c173ff0b0670d59051a535fa26e8eba02953dc19eb43205,https://pypi.org/project/arrow/1.4.0/#files,pip download arrow==1.4.0 --no-deps
attrs,26.1.0,attrs-26.1.0-py3-none-any.whl,c647aa4a12dfbad9333ca4e71fe62ddc36f4e63b2d260a37a8b83d2f043ac309,https://pypi.org/project/attrs/26.1.0/#files,pip download attrs==26.1.0 --no-deps
babel,2.18.0,babel-2.18.0-py3-none-any.whl,e2b422b277c2b9a9630c1d7903c2a00d0830c409c59ac8cae9081c92f1aeba35,https://pypi.org/project/babel/2.18.0/#files,pip download babel==2.18.0 --no-deps
beautifulsoup4,4.14.3,beautifulsoup4-4.14.3-py3-none-any.whl,0918bfe44902e6ad8d57732ba310582e98da931428d231a5ecb9e7c703a735bb,https://pypi.org/project/beautifulsoup4/4.14.3/#files,pip download beautifulsoup4==4.14.3 --no-deps
blinker,1.9.0,blinker-1.9.0-py3-none-any.whl,ba0efaa9080b619ff2f3459d1d500c57bddea4a6b424b60a91141db6fd2f08bc,https://pypi.org/project/blinker/1.9.0/#files,pip download blinker==1.9.0 --no-deps
boltons,25.0.0,boltons-25.0.0-py3-none-any.whl,dc9fb38bf28985715497d1b54d00b62ea866eca3938938ea9043e254a3a6ca62,https://pypi.org/project/boltons/25.0.0/#files,pip download boltons==25.0.0 --no-deps
cachetools,7.1.3,cachetools-7.1.3-py3-none-any.whl,9876787e2346e20584d5cca236cb5d49d04e7193de91646f230725b2e1e8b804,https://pypi.org/project/cachetools/7.1.3/#files,pip download cachetools==7.1.3 --no-deps
cattrs,26.1.0,cattrs-26.1.0-py3-none-any.whl,d1e0804c42639494d469d08d4f26d6b9de9b8ab26b446db7b5f8c2e97f7c3096,https://pypi.org/project/cattrs/26.1.0/#files,pip download cattrs==26.1.0 --no-deps
cerberus,1.3.8,cerberus-1.3.8-py3-none-any.whl,46c029e3e2a4735408ed36bec14ef2cbf3e50d8ebe47fb34ee1e54b2da814df2,https://pypi.org/project/cerberus/1.3.8/#files,pip download cerberus==1.3.8 --no-deps
click,8.4.0,click-8.4.0-py3-none-any.whl,40c50b7c6c6adac2823d411041ec84f3f103f1b280d5e9ce0d7f998995832f81,https://pypi.org/project/click/8.4.0/#files,pip download click==8.4.0 --no-deps
