rank,package,version,file_path,class_name,line_start,line_end,read_or_observer_method,mutated_state,later_read_or_branch,composition_or_threshold_site,candidate_strength,expected_behavior_difference,harness_feasibility,notes
1,httpcore,1.0.9,httpcore-1.0.9\httpcore\_models.py,Response,,,read,_content,response.read() changes later response.content from exception to bytes,,high,response.read() changes later response.content from exception to bytes,easy,source=expanded_queue_available_source; state_mutating_reader
2,pytest,9.1.1,pytest-9.1.1\src\_pytest\logging.py,catching_logs,,,__enter__,orig_level,enter/exit changes handler level and later WARNING filtering,,high,enter/exit changes handler level and later WARNING filtering,easy,source=expanded_queue_available_source; context_manager_bookkeeping
3,PyYAML,6.0.3,yaml\representer.py,SafeRepresenter,,,,,represent_data() alias cache returns stale node after object mutation,,high,represent_data() alias cache returns stale node after object mutation,moderate,source=expanded_queue_available_source; other
4,rich,15.0.0,rich-15.0.0\rich\logging.py,RichHandler,,,render_message,keywords,render_message() initializes keyword state,,medium,render_message() initializes keyword state,easy,source=expanded_queue_available_source; state_mutating_reader
5,Babel,2.18.0,babel-2.18.0\babel\messages\frontend.py,CommandLineInterface,890,,run,parser,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
6,anyio,4.13.0,anyio-4.13.0\src\anyio\from_thread.py,BlockingPortalProvider,443,,__enter__,"_leases,_portal,_portal_cm",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
7,anyio,4.13.0,anyio-4.13.0\src\anyio\_backends\_asyncio.py,CancelScope,389,,__enter__,"_active,_host_task,_parent_scope",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
8,anyio,4.13.0,anyio-4.13.0\src\anyio\_core\_contextmanagers.py,ContextManagerMixin,23,,__enter__,__cm,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
9,anyio,4.13.0,anyio-4.13.0\src\anyio\_backends\_asyncio.py,Runner,128,,run,_interrupt_count,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
10,anyio,4.13.0,anyio-4.13.0\src\anyio\_backends\_asyncio.py,StreamProtocol,1195,,eof_received,is_at_eof,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
11,anyio,4.13.0,anyio-4.13.0\src\anyio\from_thread.py,_BlockingAsyncContextManager,123,,__enter__,"_enter_future,_exit_future",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
12,anyio,4.13.0,anyio-4.13.0\src\anyio\_backends\_asyncio.py,_RawSocketMixin,1349,,_wait_until_readable,_receive_future,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
13,anyio,4.13.0,anyio-4.13.0\src\anyio\_backends\_trio.py,_SignalReceiver,818,,__enter__,"_cm,_iterator",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
14,beautifulsoup4,4.14.3,beautifulsoup4-4.14.3\bs4\builder\_html5lib.py,HTML5TreeBuilder,59,,create_treebuilder,underlying_builder,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
15,beautifulsoup4,4.14.3,beautifulsoup4-4.14.3\bs4\element.py,PageElement,352,,extract,"next_sibling,parent,previous_element,previous_sibling",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
16,boltons,25.0.0,boltons-25.0.0\boltons\socketutils.py,BufferedSocket,94,,recv_close,rbuf,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
17,boltons,25.0.0,boltons-25.0.0\boltons\formatutils.py,DeferredValue,281,,get_value,_value,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
18,boltons,25.0.0,boltons-25.0.0\boltons\deprutils.py,DeprecatableModule,39,,__getattribute__,_deprecated_members,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
19,boltons,25.0.0,boltons-25.0.0\boltons\cacheutils.py,LRI,94,,_set_key_and_evict_last_in_ll,_anchor,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
20,boltons,25.0.0,boltons-25.0.0\boltons\cacheutils.py,LRU,332,,__getitem__,"hit_count,miss_count",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
21,boltons,25.0.0,boltons-25.0.0\boltons\ioutils.py,MultiFileReader,525,,read,_index,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
22,boltons,25.0.0,boltons-25.0.0\boltons\ioutils.py,SpooledStringIO,367,,read,_tell,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
23,cachetools,7.1.3,cachetools-7.1.3\src\cachetools\__init__.py,TLRUCache,585,,expire,__order,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
24,cachetools,7.1.3,cachetools-7.1.3\src\cachetools\_cachedmethod.py,Wrapper,150,,__call__,"__hits,__misses",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
25,cachetools,7.1.3,cachetools-7.1.3\src\cachetools\_cachedmethod.py,Wrapper,198,,__call__,"__hits,__misses",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
26,cachetools,7.1.3,cachetools-7.1.3\src\cachetools\_cachedmethod.py,Wrapper,238,,__call__,"__hits,__misses",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
27,cachetools,7.1.3,cachetools-7.1.3\src\cachetools\__init__.py,_Timer,369,,__enter__,"__nesting,__time",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
28,cerberus,1.3.8,cerberus-1.3.8\cerberus\validator.py,BareValidator,59,,__normalize_mapping,_is_normalized,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
29,click-option-group,0.5.9,click_option_group-0.5.9\src\click_option_group\_decorators.py,_OptGroup,44,,__call__,_outer_frame_index,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
30,dateparser,1.4.0,dateparser-1.4.0\dateparser\parser.py,_parser,241,,_correct_for_time_frame,_token_month,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
