package,file_path,class_name,line_start,line_end,read_shaped_methods_or_properties,observation_like_methods,mutated_state,audit_label,evidence_note
Babel,babel\localedata.py,Alias,209,239,,__repr__,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
Babel,babel\numbers.py,UnknownCurrencyFormatError,701,702,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
Babel,babel\plural.py,RuleError,336,337,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
Babel,babel\plural.py,_PythonCompiler,573,585,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
anyio,anyio\_core\_contextmanagers.py,_SupportsAsyncCtxMgr,17,20,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
anyio,anyio\_core\_synchronization.py,EventStatistics,20,25,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
anyio,anyio\_core\_testing.py,TaskInfo,9,53,__hash__,__repr__,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
anyio,anyio\streams\tls.py,TLSAttribute,53,78,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
arrow,arrow\locales.py,ItalianLocale,405,475,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
arrow,arrow\locales.py,TagalogLocale,2378,2448,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
arrow,arrow\locales.py,MalayalamLocale,3051,3121,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
arrow,arrow\locales.py,LithuanianLocale,5059,5136,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
beautifulsoup4,bs4\element.py,AttributeDict,232,236,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
beautifulsoup4,bs4\filter.py,AttributeValueMatchRule,334,337,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
blinker,blinker\_utilities.py,Symbol,12,39,,__repr__,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
boltons,boltons\cacheutils.py,RLock,74,80,,,,likely_nonmatch,no concrete read/observer mutate-then-consume loop
