sweep_rank,package,version,class_name,file_path,selected_score,attempted_runnable_harness,classification,reproduced,output_diff,branch_flip,state_diff,operation_A,operation_B,result_A_summary,result_B_summary,failure_reason,notes,harness_path,json_output_path
1,markdown,3.10.2,Markdown,markdown-3.10.2\markdown\core.py,12,True,structural_only_no_runtime_difference,False,False,False,False,build_parser() once on fresh instance,build_parser() once first; then build_parser() again,"{""after"": {""ESCAPED_CHARS"": ""['\\\\', '`', '*', '_', '{', '}', '[', ']', '(', ')', '>', '#', '+', '-', '.', '!']"", ""block_level_elements"": ""['address', 'article', 'aside', 'blockquote', 'details', 'div', 'dl', 'fieldset', 'figcaption', 'figure', 'footer', 'form', 'h1', 'h2', 'h3', 'h4', 'h5', 'h6...","{""after"": {""ESCAPED_CHARS"": ""['\\\\', '`', '*', '_', '{', '}', '[', ']', '(', ')', '>', '#', '+', '-', '.', '!']"", ""block_level_elements"": ""['address', 'article', 'aside', 'blockquote', 'details', 'div', 'dl', 'fieldset', 'figcaption', 'figure', 'footer', 'form', 'h1', 'h2', 'h3', 'h4', 'h5', 'h6...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_01_markdown_Markdown.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_01_markdown_Markdown.json
2,more-itertools,11.0.2,seekable,more_itertools-11.0.2\more_itertools\more.py,12,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: iterable,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_02_more_itertools_seekable.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_02_more_itertools_seekable.json
3,pygments,2.20.0,EscapeSequence,pygments-2.20.0\pygments\formatters\terminal256.py,12,True,structural_only_no_runtime_difference,False,False,False,False,color_string() once on fresh instance,color_string() once first; then color_string() again,"{""after"": {""bg"": ""None"", ""bold"": ""False"", ""fg"": ""None"", ""italic"": ""False"", ""underline"": ""False""}, ""before"": {""bg"": ""None"", ""bold"": ""False"", ""fg"": ""None"", ""italic"": ""False"", ""underline"": ""False""}, ""result"": {""kind"": ""value"", ""value"": ""''""}}","{""after"": {""bg"": ""None"", ""bold"": ""False"", ""fg"": ""None"", ""italic"": ""False"", ""underline"": ""False""}, ""after_observation"": {""bg"": ""None"", ""bold"": ""False"", ""fg"": ""None"", ""italic"": ""False"", ""underline"": ""False""}, ""before"": {""bg"": ""None"", ""bold"": ""False"", ""fg"": ""None"", ""italic"": ""False"", ""underline"": ""F...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_03_pygments_EscapeSequence.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_03_pygments_EscapeSequence.json
4,docutils,0.22.4,Transformer,docutils-0.22.4\docutils\transforms\__init__.py,11,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: document,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_04_docutils_Transformer.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_04_docutils_Transformer.json
5,soupsieve,2.8.3,CSSMatch,soupsieve-2.8.3\soupsieve\css_match.py,11,True,import_failed,False,False,False,False,,,{},{},import_failed: ModuleNotFoundError: No module named 'bs4',generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_05_soupsieve_CSSMatch.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_05_soupsieve_CSSMatch.json
6,anyio,4.13.0,CancelScope,anyio-4.13.0\src\anyio\_backends\_asyncio.py,10,True,structural_only_no_runtime_difference,False,False,False,False,__enter__() once on fresh instance,__enter__() once first; then __enter__() again,"{""after"": {""_active"": ""False"", ""_cancel_called"": ""False"", ""_cancel_handle"": ""None"", ""_cancel_reason"": ""None"", ""_cancelled_caught"": ""False"", ""_child_scopes"": ""set()"", ""_deadline"": ""inf"", ""_host_task"": ""None"", ""_parent_scope"": ""None"", ""_pending_uncancellations"": ""0"", ""_shield"": ""False"", ""_tasks"": ""...","{""after"": {""_active"": ""False"", ""_cancel_called"": ""False"", ""_cancel_handle"": ""None"", ""_cancel_reason"": ""None"", ""_cancelled_caught"": ""False"", ""_child_scopes"": ""set()"", ""_deadline"": ""inf"", ""_host_task"": ""None"", ""_parent_scope"": ""None"", ""_pending_uncancellations"": ""0"", ""_shield"": ""False"", ""_tasks"": ""...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_06_anyio_CancelScope.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_06_anyio_CancelScope.json
7,anyio,4.13.0,Runner,anyio-4.13.0\src\anyio\_backends\_asyncio.py,10,True,structural_only_no_runtime_difference,False,False,False,False,run() once on fresh instance,run() once first; then run() again,"{""after"": {""_context"": ""None"", ""_debug"": ""None"", ""_interrupt_count"": ""0"", ""_loop"": ""None"", ""_loop_factory"": ""None"", ""_set_event_loop"": ""False"", ""_state"": ""<_State.CREATED: 'created'>""}, ""before"": {""_context"": ""None"", ""_debug"": ""None"", ""_interrupt_count"": ""0"", ""_loop"": ""None"", ""_loop_factory"": ""No...","{""after"": {""_context"": ""None"", ""_debug"": ""None"", ""_interrupt_count"": ""0"", ""_loop"": ""None"", ""_loop_factory"": ""None"", ""_set_event_loop"": ""False"", ""_state"": ""<_State.CREATED: 'created'>""}, ""after_observation"": {""_context"": ""None"", ""_debug"": ""None"", ""_interrupt_count"": ""0"", ""_loop"": ""None"", ""_loop_fa...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_07_anyio_Runner.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_07_anyio_Runner.json
8,anyio,4.13.0,ContextManagerMixin,anyio-4.13.0\src\anyio\_core\_contextmanagers.py,10,True,structural_only_no_runtime_difference,False,False,False,False,__enter__() once on fresh instance,__enter__() once first; then __enter__() again,"{""after"": {}, ""before"": {}, ""result"": {""kind"": ""exception"", ""message"": ""__contextmanager__() did not return a context manager object, but <class 'NoneType'>"", ""type"": ""TypeError""}}","{""after"": {}, ""after_observation"": {}, ""before"": {}, ""observation_result"": {""kind"": ""exception"", ""message"": ""__contextmanager__() did not return a context manager object, but <class 'NoneType'>"", ""type"": ""TypeError""}, ""result"": {""kind"": ""exception"", ""message"": ""__contextmanager__() did not return...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_08_anyio_ContextManagerMixin.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_08_anyio_ContextManagerMixin.json
9,anyio,4.13.0,BlockingPortalProvider,anyio-4.13.0\src\anyio\from_thread.py,10,True,confirmed_state_divergence_only,True,False,False,True,__enter__() once on fresh instance,__enter__() once first; then __enter__() again,"{""after"": {""_leases"": ""1"", ""_lock"": ""<unlocked _thread.lock object at 0xADDR>"", ""_portal"": ""<anyio.from_thread.BlockingPortal object at 0xADDR>"", ""_portal_cm"": ""<contextlib._GeneratorContextManager object at 0xADDR>"", ""backend"": ""'asyncio'"", ""backend_options"": ""None""}, ""before"": {""_lock"": ""<unloc...","{""after"": {""_leases"": ""2"", ""_lock"": ""<unlocked _thread.lock object at 0xADDR>"", ""_portal"": ""<anyio.from_thread.BlockingPortal object at 0xADDR>"", ""_portal_cm"": ""<contextlib._GeneratorContextManager object at 0xADDR>"", ""backend"": ""'asyncio'"", ""backend_options"": ""None""}, ""after_observation"": {""_lea...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_09_anyio_BlockingPortalProvider.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_09_anyio_BlockingPortalProvider.json
10,beautifulsoup4,4.14.3,HTML5TreeBuilder,beautifulsoup4-4.14.3\bs4\builder\_html5lib.py,10,True,import_failed,False,False,False,False,,,{},{},import_failed: ModuleNotFoundError: No module named 'html5lib',generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_10_beautifulsoup4_HTML5TreeBuilder.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_10_beautifulsoup4_HTML5TreeBuilder.json
