package,version_requested,version_obtained,source_status,source_path,files_count,classes_count_if_analyzed,notes
attrs,26.1.0,26.1.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\attrs-26.1.0,19,37,downloaded exact version
click,8.4.0,8.4.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\click-8.4.0,17,84,downloaded exact version
humanize,4.15.0,4.15.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\humanize-4.15.0,7,1,downloaded exact version
pendulum,3.2.0,3.2.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\pendulum-3.2.0,119,26,downloaded exact version
arrow,1.4.0,1.4.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\arrow-1.4.0,10,93,downloaded exact version
cachetools,7.1.3,7.1.3,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\cachetools-7.1.3,5,30,downloaded exact version
sortedcontainers,2.4.0,2.4.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\sortedcontainers-2.4.0,4,8,downloaded exact version
boltons,25.0.0,25.0.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\boltons-25.0.0,30,92,downloaded exact version
more-itertools,11.0.2,11.0.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\more-itertools-11.0.2,3,15,downloaded exact version
toolz,1.1.0,1.1.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\toolz-1.1.0,33,34,downloaded exact version
yarl,1.24.2,1.24.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\yarl-1.24.2,8,6,downloaded exact version
multidict,6.7.1,6.7.1,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\multidict-6.7.1,4,18,downloaded exact version
marshmallow,4.3.0,4.3.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\marshmallow-4.3.0,14,65,downloaded exact version
cerberus,1.3.8,1.3.8,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\cerberus-1.3.8,6,24,downloaded exact version
tomli,2.4.1,2.4.1,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\tomli-2.4.1,4,5,downloaded exact version
tomlkit,0.15.0,0.15.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\tomlkit-0.15.0,13,59,downloaded exact version
python-dotenv,1.2.2,1.2.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\python-dotenv-1.2.2,8,10,downloaded exact version
loguru,0.7.3,0.7.3,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\loguru-0.7.3,19,35,downloaded exact version
structlog,25.5.0,25.5.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\structlog-25.5.0,21,64,downloaded exact version
tenacity,9.1.4,9.1.4,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\tenacity-9.1.4,12,55,downloaded exact version
pluggy,1.6.0,1.6.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\pluggy-1.6.0,8,18,downloaded exact version
packaging,26.2,26.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\packaging-26.2,20,78,downloaded exact version
importlib-metadata,9.0.0,9.0.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\importlib-metadata-9.0.0,12,26,downloaded exact version
jsonschema,4.26.0,4.26.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\jsonschema-4.26.0,37,67,downloaded exact version
tqdm,4.67.3,4.67.3,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\tqdm-4.67.3,31,40,downloaded exact version
anyio,4.13.0,4.13.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\anyio-4.13.0,42,168,downloaded exact version
sniffio,1.3.1,1.3.1,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\sniffio-1.3.1,5,2,downloaded exact version
pyparsing,3.3.2,3.3.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\pyparsing-3.3.2,17,114,downloaded exact version
requests,2.34.2,2.34.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\requests-2.34.2,19,52,downloaded exact version
urllib3,2.7.0,2.7.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\urllib3-2.7.0,36,104,downloaded exact version
jinja2,3.1.6,3.1.6,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\jinja2-3.1.6,25,160,downloaded exact version
markupsafe,3.0.3,3.0.3,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\markupsafe-3.0.3,2,5,downloaded exact version
flask,3.1.3,3.1.3,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\flask-3.1.3,24,47,downloaded exact version
werkzeug,3.1.8,3.1.8,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\werkzeug-3.1.8,52,181,downloaded exact version
itsdangerous,2.2.0,2.2.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\itsdangerous-2.2.0,8,18,downloaded exact version
blinker,1.9.0,1.9.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\blinker-1.9.0,3,5,downloaded exact version
iniconfig,2.3.0,2.3.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\iniconfig-2.3.0,4,4,downloaded exact version
filelock,3.29.0,3.29.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\filelock-3.29.0,14,33,downloaded exact version
platformdirs,4.9.6,4.9.6,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\platformdirs-4.9.6,9,9,downloaded exact version
pathspec,1.1.1,1.1.1,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\pathspec-1.1.1,31,27,downloaded exact version
mypy-extensions,1.1.0,1.1.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\mypy-extensions-1.1.0,1,9,downloaded exact version
typing-extensions,4.15.0,4.15.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\typing-extensions-4.15.0,1,50,downloaded exact version
typing-inspection,0.4.2,0.4.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\typing-inspection-0.4.2,3,4,downloaded exact version
dacite,1.9.2,1.9.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\dacite-1.9.2,10,12,downloaded exact version
cattrs,26.1.0,26.1.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\cattrs-26.1.0,50,26,downloaded exact version
deprecated,1.3.1,1.3.1,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\deprecated-1.3.1,4,3,downloaded exact version
wrapt,2.2.0,2.2.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\wrapt-2.2.0,12,43,downloaded exact version
dateparser,1.4.0,1.4.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\dateparser-1.4.0,250,36,downloaded exact version
parsedatetime,2.6,2.6,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\parsedatetime-2.6,15,8,downloaded exact version
Babel,2.18.0,2.18.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\babel-2.18.0,27,53,downloaded exact version
soupsieve,2.8.3,2.8.3,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\soupsieve-2.8.3,7,23,downloaded exact version
beautifulsoup4,4.14.3,4.14.3,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\beautifulsoup4-4.14.3,15,65,downloaded exact version
pygments,2.20.0,2.20.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\pygments-2.20.0,339,756,downloaded exact version
mistune,3.2.1,3.2.1,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\mistune-3.2.1,35,24,downloaded exact version
markdown,3.10.2,3.10.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\markdown-3.10.2,33,111,downloaded exact version
docutils,0.22.4,0.22.4,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4,129,499,downloaded exact version
pydocstyle,6.3.0,6.3.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\pydocstyle-6.3.0,10,28,downloaded exact version
flake8,7.3.0,7.3.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\flake8-7.3.0,33,39,downloaded exact version
mccabe,0.7.0,0.7.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\mccabe-0.7.0,1,5,downloaded exact version
pycodestyle,2.14.0,2.14.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\pycodestyle-2.14.0,1,6,downloaded exact version
pyflakes,3.4.0,3.4.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\pyflakes-3.4.0,21,107,downloaded exact version
click-option-group,0.5.9,0.5.9,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\click-option-group-0.5.9,5,11,downloaded exact version
fastjsonschema,2.21.2,2.21.2,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\fastjsonschema-2.21.2,10,9,downloaded exact version
jsonpointer,3.1.1,3.1.1,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\jsonpointer-3.1.1,1,3,downloaded exact version
jsonpatch,1.33,1.33,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\jsonpatch-1.33,1,13,downloaded exact version
email-validator,2.3.0,2.3.0,reacquired_exact,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\email-validator-2.3.0,9,7,downloaded exact version
