package,version,file_path,class_name,line_start,line_end,read_shaped_methods_or_properties,read_shaped_methods_mutate_state,observation_like_methods_mutate_state,mutated_state_consumed_by_later_reads,composition_or_threshold_visible,audit_label,evidence_note,code_snippet_or_lines
PyYAML,6.0.3,yaml\events.py,MappingStartEvent,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"77:
78: class SequenceEndEvent(CollectionEndEvent):
79:     pass
80:
81: class MappingStartEvent(CollectionStartEvent):
82:     pass
83:
84: class MappingEndEvent(CollectionEndEvent):
85:     pass"
PyYAML,6.0.3,yaml\representer.py,SafeRepresenter,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"130:
131:     def ignore_aliases(self, data):
132:         return False
133:
134: class SafeRepresenter(BaseRepresenter):
135:
136:     def ignore_aliases(self, data):
137:         if data is None:
138:             return True"
asttokens,3.0.1,asttokens-3.0.1\asttokens\util.py,Token,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"60:   # repr() prefixes unicode with 'u' on Python2 but not Python3; strip it out for consistency.
61:   return '%s:%s' % (token.tok_name[tok_type], repr(string).lstrip('u'))
62:
63:
64: class Token(collections.namedtuple('Token', 'type string start end line index startpos endpos')):
65:   """"""
66:   TokenInfo is an 8-tuple containing the same 5 fields as the tokens produced by the tokenize
67:   module, and 3 additional ones useful for this module:
68:"
black,26.5.1,black-26.5.1\src\black\rusty.py,Ok,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"8: T = TypeVar(""T"")
9: E = TypeVar(""E"", bound=Exception)
10:
11:
12: class Ok(Generic[T]):
13:     def __init__(self, value: T) -> None:
14:         self._value = value
15:
16:     def ok(self) -> T:"
cffi,2.0.0,cffi\setuptools_ext.py,build_ext_make_mod,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"146:         dist.ext_modules = []
147:     dist.ext_modules.append(ext)
148:
149:     base_class = dist.cmdclass.get('build_ext', build_ext)
150:     class build_ext_make_mod(base_class):
151:         def run(self):
152:             if ext.sources[0] == '$PLACEHOLDER':
153:                 pre_run = getattr(self, 'pre_run', None)
154:                 ext.sources[0] = make_mod(self.build_temp, pre_run)"
coverage,7.15.0,coverage-7.15.0\coverage\files.py,GlobMatcher,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"312:
313:         return False
314:
315:
316: class GlobMatcher(Matcher):
317:     """"""A matcher for files by file name pattern.""""""
318:
319:     def __init__(
320:         self,"
cryptography,49.0.0,cryptography\hazmat\decrepit\ciphers\algorithms.py,TripleDES,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"25:     def key_size(self) -> int:
26:         return len(self.key) * 8
27:
28:
29: class TripleDES(BlockCipherAlgorithm):
30:     name = ""3DES""
31:     block_size = 64
32:     key_sizes = frozenset([64, 128, 192])
33:"
cryptography,49.0.0,cryptography\hazmat\primitives\asymmetric\ec.py,SECP192R1,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"250:     key_size = 224
251:     group_order = 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFF16A2E0B8F03E13DD29455C5C2A3D
252:
253:
254: class SECP192R1(EllipticCurve):
255:     name = ""secp192r1""
256:     key_size = 192
257:     group_order = 0xFFFFFFFFFFFFFFFFFFFFFFFF99DEF836146BC9B1B4D22831
258:"
cryptography,49.0.0,cryptography\hazmat\primitives\asymmetric\ec.py,SECP384R1,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"222:     key_size = 521
223:     group_order = 0x1FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFA51868783BF2F966B7FCC0148F709A5D03BB5C9B8899C47AEBB6FB71E91386409  # noqa: E501
224:
225:
226: class SECP384R1(EllipticCurve):
227:     name = ""secp384r1""
228:     key_size = 384
229:     group_order = 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC7634D81F4372DDF581A0DB248B0A77AECEC196ACCC52973  # noqa: E501
230:"
cryptography,49.0.0,cryptography\hazmat\primitives\asymmetric\mldsa.py,MLDSA65PrivateKey,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"253: if hasattr(rust_openssl, ""mldsa""):
254:     MLDSA65PublicKey.register(rust_openssl.mldsa.MLDSA65PublicKey)
255:
256:
257: class MLDSA65PrivateKey(metaclass=abc.ABCMeta):
258:     @classmethod
259:     def generate(cls) -> MLDSA65PrivateKey:
260:         from cryptography.hazmat.backends.openssl.backend import backend
261:"
cryptography,49.0.0,cryptography\hazmat\primitives\ciphers\modes.py,CBC,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"35: )
36: from cryptography.hazmat.primitives.ciphers import algorithms
37:
38:
39: class CBC(ModeWithInitializationVector):
40:     name = ""CBC""
41:
42:     def __init__(self, initialization_vector: utils.Buffer):
43:         utils._check_byteslike(""initialization_vector"", initialization_vector)"
cryptography,49.0.0,cryptography\x509\extensions.py,PolicyInformation,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"844:     def public_bytes(self) -> bytes:
845:         return rust_x509.encode_extension_value(self)
846:
847:
848: class PolicyInformation:
849:     def __init__(
850:         self,
851:         policy_identifier: ObjectIdentifier,
852:         policy_qualifiers: Iterable[str | UserNotice] | None,"
cryptography,49.0.0,cryptography\x509\ocsp.py,OCSPRequestBuilder,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"114: OCSPResponse = ocsp.OCSPResponse
115: OCSPSingleResponse = ocsp.OCSPSingleResponse
116:
117:
118: class OCSPRequestBuilder:
119:     def __init__(
120:         self,
121:         request: tuple[
122:             x509.Certificate, x509.Certificate, hashes.HashAlgorithm"
fastapi,0.139.0,fastapi-0.139.0\docs_src\body_multiple_params\tutorial004_an_py310.py,User,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"12:     price: float
13:     tax: float | None = None
14:
15:
16: class User(BaseModel):
17:     username: str
18:     full_name: str | None = None
19:
20:"
fastapi,0.139.0,fastapi-0.139.0\docs_src\body_nested_models\tutorial007_py310.py,Image,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"3:
4: app = FastAPI()
5:
6:
7: class Image(BaseModel):
8:     url: HttpUrl
9:     name: str
10:
11:"
fastapi,0.139.0,fastapi-0.139.0\docs_src\encoder\tutorial001_py310.py,Item,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"6:
7: fake_db = {}
8:
9:
10: class Item(BaseModel):
11:     title: str
12:     timestamp: datetime
13:     description: str | None = None
14:"
fastapi,0.139.0,fastapi-0.139.0\docs_src\security\tutorial004_an_py310.py,TokenData,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"30:     access_token: str
31:     token_type: str
32:
33:
34: class TokenData(BaseModel):
35:     username: str | None = None
36:
37:
38: class User(BaseModel):"
