config,steps,inspects,nonlinearity,mean,std,min,max,range
inspect_0,6,0,quadratic,1577.8,0.0,1577.8,1577.8,0.0
inspect_1,6,1,quadratic,2316.6003,135.8292,2060.8,2444.8,384.0
inspect_2,6,2,quadratic,3174.6725,250.8241,2543.8,3491.8,948.0
inspect_3,6,3,quadratic,4154.8053,384.3921,3026.8,4718.8,1692.0
inspect_4,6,4,quadratic,5254.8002,542.3099,3509.8,6125.8,2616.0
inspect_5,6,5,quadratic,6476.0409,718.2412,3992.8,7712.8,3720.0
linear,6,1,linear,90.5218,5.2661,80.5,95.5,15.0
quadratic,6,1,quadratic,2316.2204,135.8687,2060.8,2444.8,384.0
cubic,6,1,cubic,66938.3853,3908.486,59557.12,70654.72,11097.6
extreme,6,1,extreme,210558.8828,23938.1175,165894.4,233478.4,67584.0
steps_3,3,1,quadratic,600.0288,20.6616,566.15,616.85,50.7
steps_6,6,1,quadratic,2316.3597,136.0228,2060.8,2444.8,384.0
steps_9,9,1,quadratic,6153.9425,433.7859,5285.04,6584.64,1299.6
steps_12,12,1,quadratic,13577.0383,1040.8875,11451.44,14645.84,3194.4
