config,steps,inspects,nonlinearity,mean,std,min,max,range
inspect_0,6,0,quadratic,1577.8,0.0,1577.8,1577.8,0.0
inspect_1,6,1,quadratic,2316.6767,135.3789,2060.8,2444.8,384.0
inspect_2,6,2,quadratic,3176.0194,250.883,2543.8,3491.8,948.0
inspect_3,6,3,quadratic,4155.9265,385.1879,3026.8,4718.8,1692.0
inspect_4,6,4,quadratic,5255.1326,539.5225,3509.8,6125.8,2616.0
inspect_5,6,5,quadratic,6472.4285,717.2113,3992.8,7712.8,3720.0
linear,6,1,linear,90.492,5.2821,80.5,95.5,15.0
quadratic,6,1,quadratic,2317.4777,135.1609,2060.8,2444.8,384.0
cubic,6,1,cubic,66933.4015,3919.2358,59557.12,70654.72,11097.6
extreme,6,1,extreme,210336.0068,23962.4146,165894.4,233478.4,67584.0
steps_3,3,1,quadratic,600.0108,20.6717,566.15,616.85,50.7
steps_6,6,1,quadratic,2316.7397,135.2709,2060.8,2444.8,384.0
steps_9,9,1,quadratic,6154.4069,434.4828,5285.04,6584.64,1299.6
steps_12,12,1,quadratic,13576.8053,1040.9469,11451.44,14645.84,3194.4
