body_length,observation_count,cap_degree,unique_permutations,sampled_unique_permutations,sampled_min,sampled_max,sampled_range,exhaustive_min,exhaustive_max,exhaustive_range,match,absolute_range_mismatch
2,1,1,3,3,211/10,221/10,1,211/10,221/10,1,True,0
2,1,2,3,3,7596/25,7956/25,72/5,7596/25,7956/25,72/5,True,0
2,1,3,3,3,641862/125,672282/125,6084/25,641862/125,672282/125,6084/25,True,0
2,1,4,3,3,62902476/625,65883636/625,596232/125,62902476/625,65883636/625,596232/125,True,0
2,2,1,6,6,211/10,231/10,2,211/10,231/10,2,True,0
2,2,2,6,6,8651/25,9471/25,164/5,8651/25,9471/25,164/5,True,0
2,2,3,6,6,1721549/250,1884729/250,16318/25,1721549/250,1884729/250,16318/25,True,0
2,2,4,6,6,101571391/625,111199011/625,1925524/125,101571391/625,111199011/625,1925524/125,True,0
2,3,1,10,10,211/10,241/10,3,211/10,241/10,3,True,0
2,3,2,10,10,9706/25,11086/25,276/5,9706/25,11086/25,276/5,True,0
2,3,3,10,10,1111337/125,1269347/125,31602/25,1111337/125,1269347/125,31602/25,True,0
2,3,4,10,10,153364506/625,175169886/625,4361076/125,153364506/625,175169886/625,4361076/125,True,0
2,4,1,15,15,211/10,251/10,4,211/10,251/10,4,True,0
2,4,2,15,15,10761/25,12801/25,408/5,10761/25,12801/25,408/5,True,0
2,4,3,15,15,2787099/250,3315459/250,52836/25,2787099/250,3315459/250,52836/25,True,0
2,4,4,15,15,220180821/625,261921261/625,8348088/125,220180821/625,261921261/625,8348088/125,True,0
3,1,1,4,4,67/2,73/2,3,67/2,73/2,3,True,0
3,1,2,4,4,11323/20,12337/20,507/10,11323/20,12337/20,507/10,True,0
3,1,3,4,4,554827/50,604513/50,24843/25,554827/50,604513/50,24843/25,True,0
3,1,4,4,4,4993443/20,5440617/20,223587/10,4993443/20,5440617/20,223587/10,True,0
3,2,1,10,10,67/2,79/2,6,67/2,79/2,6,True,0
3,2,2,10,10,13333/20,15721/20,597/5,13333/20,15721/20,597/5,True,0
3,2,3,10,10,786647/50,927539/50,70446/25,786647/50,927539/50,70446/25,True,0
3,2,4,10,10,8653117/20,10202929/20,387453/5,8653117/20,10202929/20,387453/5,True,0
3,3,1,20,20,67/2,85/2,9,67/2,85/2,9,True,0
3,3,2,20,20,15343/20,3893/4,2061/10,15343/20,3893/4,2061/10,True,0
3,3,3,20,20,1058667/50,268617/10,142209/25,1058667/50,268617/10,142209/25,True,0
3,3,4,20,20,13762671/20,3492021/4,1848717/10,13762671/20,3492021/4,1848717/10,True,0
3,4,1,35,35,67/2,91/2,12,67/2,91/2,12,True,0
3,4,2,35,35,17353/20,23569/20,1554/5,17353/20,23569/20,1554/5,True,0
3,4,3,35,35,1370887/50,1861951/50,245532/25,1370887/50,1861951/50,245532/25,True,0
3,4,4,35,35,4112661/4,5585853/4,368298,4112661/4,5585853/4,368298,True,0
4,1,1,5,5,237/5,267/5,6,237/5,267/5,6,True,0
4,1,2,5,5,23226/25,26166/25,588/5,23226/25,26166/25,588/5,True,0
4,1,3,5,5,104517/5,117747/5,2646,104517/5,117747/5,2646,True,0
4,1,4,5,5,13378176/25,15071616/25,338688/5,13378176/25,15071616/25,338688/5,True,0
4,2,1,15,15,237/5,297/5,12,237/5,297/5,12,True,0
4,2,2,15,15,27966/25,35046/25,1416/5,27966/25,35046/25,1416/5,True,0
4,2,3,15,15,153813/5,192753/5,7788,153813/5,192753/5,7788,True,0
4,2,4,15,15,24302454/25,30454974/25,1230504/5,24302454/25,30454974/25,1230504/5,True,0
4,3,1,35,35,237/5,327/5,18,237/5,327/5,18,True,0
4,3,2,35,35,32706/25,45126/25,2484/5,32706/25,45126/25,2484/5,True,0
4,3,3,35,35,212589/5,293319/5,16146,212589/5,293319/5,16146,True,0
4,3,4,35,35,39966732/25,55143972/25,3035448/5,39966732/25,55143972/25,3035448/5,True,0
4,4,1,70,70,237/5,357/5,24,237/5,357/5,24,True,0
4,4,2,70,70,37446/25,56406/25,3792/5,37446/25,56406/25,3792/5,True,0
4,4,3,70,70,56169,84609,28440,56169,84609,28440,True,0
4,4,4,70,70,12244842/5,18444762/5,1239984,12244842/5,18444762/5,1239984,True,0
5,1,1,6,6,63,73,10,63,73,10,True,0
5,1,2,6,6,2835/2,3285/2,225,2835/2,3285/2,225,True,0
5,1,3,6,6,36288,42048,5760,36288,42048,5760,True,0
5,1,4,6,6,5243616/5,6075936/5,166464,5243616/5,6075936/5,166464,True,0
5,2,1,21,21,63,83,20,63,83,20,True,0
5,2,2,21,21,3465/2,4565/2,550,3465/2,4565/2,550,True,0
5,2,3,21,21,54747,72127,17380,54747,72127,17380,True,0
5,2,4,21,21,19654173/10,25893593/10,623942,19654173/10,25893593/10,623942,True,0
5,3,1,56,56,63,93,30,63,93,30,True,0
5,3,2,56,56,4095/2,6045/2,975,4095/2,6045/2,975,True,0
5,3,3,56,56,76986,113646,36660,76986,113646,36660,True,0
