body_length,observation_count,cap_degree,drift_schedule,schedule_beta,unique_permutations,sampled_permutations,seed_count,exhaustive_enumeration_used,exact_rational_arithmetic_used,executions,mean_output,std_dev,range,coefficient_of_variation,min_output,max_output,exact_min_output,exact_max_output,exact_range
3,0,1,constant,0,1,1,0,True,True,1,33.5,0.0,0.0,0.0,33.5,33.5,67/2,67/2,0
3,0,2,constant,0,1,1,0,True,True,1,465.65,0.0,0.0,0.0,465.65,465.65,9313/20,9313/20,0
3,0,3,constant,0,1,1,0,True,True,1,7264.14,0.0,0.0,0.0,7264.14,7264.14,363207/50,363207/50,0
3,0,4,constant,0,1,1,0,True,True,1,127122.45,0.0,0.0,0.0,127122.45,127122.45,2542449/20,2542449/20,0
3,0,5,constant,0,1,1,0,True,True,1,2491600.02,0.0,0.0,0.0,2491600.02,2491600.02,124580001/50,124580001/50,0
3,0,6,constant,0,1,1,0,True,True,1,54566040.438,0.0,0.0,0.0,54566040.438,54566040.438,27283020219/500,27283020219/500,0
3,0,7,constant,0,1,1,0,True,True,1,1331411386.6872,0.0,0.0,0.0,1331411386.6872,1331411386.6872,1664264233359/1250,1664264233359/1250,0
3,0,8,constant,0,1,1,0,True,True,1,36081248579.22312,0.0,0.0,0.0,36081248579.22312,36081248579.22312,451015607240289/12500,451015607240289/12500,0
3,1,1,constant,0,4,4,0,True,True,4,35.5,1.414213562373,3.0,0.039837001757,33.5,36.5,67/2,73/2,3
3,1,2,constant,0,4,4,0,True,True,4,599.95,23.900209204105,50.7,0.039837001757,566.15,616.85,11323/20,12337/20,507/10
3,1,3,constant,0,4,4,0,True,True,4,11759.02,468.444100400464,993.72,0.039837001757,11096.54,12090.26,554827/50,604513/50,24843/25
3,1,4,constant,0,4,4,0,True,True,4,264577.95,10539.992259010432,22358.7,0.039837001757,249672.15,272030.85,4993443/20,5440617/20,223587/10
3,1,5,constant,0,4,4,0,True,True,4,6773195.52,269823.80183066713,572382.72,0.039837001757,6391607.04,6963989.76,159790176/25,174099744/25,14309568/25
3,1,6,constant,0,4,4,0,True,True,4,195745350.528,7797907.872906289,16541860.608,0.039837001757,184717443.456,201259304.064,23089680432/125,25157413008/125,2067732576/125
3,1,7,constant,0,4,4,0,True,True,4,6342149357.1072,252652215.0821639,535956283.6992,0.039837001757,5984845167.9744,6520801451.6736,3740528229984/625,4075500907296/625,334972677312/625
3,1,8,constant,0,4,4,0,True,True,4,228951591791.56992,9120744964.4661,19348021841.54112,0.039837001757,216052910563.87585,235400932405.41696,675165345512112/3125,735627913766928/3125,60462568254816/3125
3,2,1,constant,0,10,10,0,True,True,10,37.5,2.0,6.0,0.053333333333,33.5,39.5,67/2,79/2,6
3,2,2,constant,0,10,10,0,True,True,10,746.25,39.8,119.4,0.053333333333,666.65,786.05,13333/20,15721/20,597/5
3,2,3,constant,0,10,10,0,True,True,10,17611.5,939.279999999999,2817.84,0.053333333333,15732.94,18550.78,786647/50,927539/50,70446/25
3,2,4,constant,0,10,10,0,True,True,10,484316.25,25830.200000000004,77490.6,0.053333333333,432655.85,510146.45,8653117/20,10202929/20,387453/5
3,2,5,constant,0,10,10,0,True,True,10,15304393.5,816234.3200000003,2448702.96,0.053333333333,13671924.86,16120627.82,683596243/50,806031391/50,61217574/25
3,2,6,constant,0,10,10,0,True,True,10,549427726.65,29302812.08800002,87908436.264,0.053333333333,490822102.474,578730538.738,245411051237/500,289365269369/500,10988554533/125
3,2,7,constant,0,10,10,0,True,True,10,22196880156.66,1183833608.3552008,3551500825.0656,0.053333333333,19829212939.9496,23380713765.0152,24786516174937/1250,29225892206269/1250,2219688015666/625
3,2,8,constant,0,10,10,0,True,True,10,1001079295065.366,53390895736.81953,160172687210.45856,0.053333333333,894297503591.7269,1054470190802.1855,11178718794896587/12500,13180877385027319/12500,500539647532683/3125
3,3,1,constant,0,20,20,0,True,True,20,39.5,2.575185225837,9.0,0.065194562679,33.5,42.5,67/2,85/2,9
3,3,2,constant,0,20,20,0,True,True,20,904.55,58.971741671664,206.1,0.065194562679,767.15,973.25,15343/20,3893/4,2061/10
3,3,3,constant,0,20,20,0,True,True,20,24965.58,1627.620070137927,5688.36,0.065194562679,21173.34,26861.7,1058667/50,268617/10,142209/25
3,3,4,constant,0,20,20,0,True,True,20,811381.35,52897.65227948261,184871.7,0.065194562679,688133.55,873005.25,13762671/20,3492021/4,1848717/10
3,3,5,constant,0,20,20,0,True,True,20,30507938.76,1988951.7257085461,6951175.92,0.065194562679,25873821.48,32824997.4,646845537/25,164124987/5,173779398/25
3,3,6,constant,0,20,20,0,True,True,20,1308790572.804,85326029.03289664,298205446.968,0.065194562679,1109986941.492,1408192388.46,277496735373/250,70409619423/50,37275680871/125
3,3,7,constant,0,20,20,0,True,True,20,63345463723.7136,4129779805.192197,14433143633.2512,0.065194562679,53723367968.2128,68156511601.464,33577104980133/625,8519563950183/125,9020714770782/625
3,3,8,constant,0,20,20,0,True,True,20,3426989587452.906,223421087460.89798,780833070558.8899,0.065194562679,2906434207080.3125,3687267277639.2026,18165213794251953/6250,4609084097049003/1250,2440103345496531/3125
3,4,1,constant,0,35,35,0,True,True,35,41.5,3.143620991974,12.0,0.075749903421,33.5,45.5,67/2,91/2,12
3,4,2,constant,0,35,35,0,True,True,35,1074.85,81.419783692114,310.8,0.075749903421,867.65,1178.45,17353/20,23569/20,1554/5
3,4,3,constant,0,35,35,0,True,True,35,33965.26,2572.865164670793,9821.28,0.075749903421,27417.74,37239.02,1370887/50,1861951/50,245532/25
3,4,4,constant,0,35,35,0,True,True,35,1273697.25,96482.44367515476,368298.0,0.075749903421,1028165.25,1396463.25,4112661/4,5585853/4,368298
3,4,5,constant,0,35,35,0,True,True,35,55533200.1,4206634.544236748,16057792.8,0.075749903421,44828004.9,60885797.7,448280049/10,608857977/10,80288964/5
3,4,6,constant,0,35,35,0,True,True,35,2771106684.99,209911063.75741372,801283860.72,0.075749903421,2236917444.51,3038201305.23,223691744451/100,303820130523/100,20032096518/25
3,4,7,constant,0,35,35,0,True,True,35,156290417033.436,11838983995.918135,45192409744.608,0.075749903421,126162143870.364,171354553614.972,31540535967591/250,42838638403743/250,5649051218076/125
3,4,8,constant,0,35,35,0,True,True,35,9861925314809.812,747039890142.4338,2851641054884.7646,0.075749903421,7960831278219.969,10812472333104.732,19902078195549921/2500,27031180832761833/2500,1782275659302978/625
3,5,1,constant,0,56,56,0,True,True,56,43.5,3.70748628392,15.0,0.085229569745,33.5,48.5,67/2,97/2,15
3,5,2,constant,0,56,56,0,True,True,56,1257.15,107.146353605287,433.5,0.085229569745,968.15,1401.65,19363/20,28033/20,867/2
3,5,3,constant,0,56,56,0,True,True,56,44754.54,3814.410188348199,15432.6,0.085229569745,34466.14,49898.74,1723307/50,2494937/50,77163/5
3,5,4,constant,0,56,56,0,True,True,56,1902067.95,162112.4330047985,655885.5,0.085229569745,1464810.95,2120696.45,29296219/20,42413929/20,1311771/2
3,5,5,constant,0,56,56,0,True,True,56,94342570.32,8040776.677038006,32531920.8,0.085229569745,72654623.12,105186543.92,1816365578/25,2629663598/25,162659604/5
3,5,6,constant,0,56,56,0,True,True,56,5368092251.208,457520192.92346245,1851066293.52,0.085229569745,4134048055.528,5985114349.048,516756006941/125,748139293631/125,46276657338/25
3,5,7,constant,0,56,56,0,True,True,56,345705140977.7952,29464300424.270992,119208669302.688,0.085229569745,266232694776.0032,385441364078.6912,166395434235002/625,240900852549182/625,14901083662836/125
3,5,8,constant,0,56,56,0,True,True,56,24925340664499.035,2124376060589.938,8594945056723.805,0.085229569745,19195377293349.832,27790322350073.637,59985554041718221/3125,86844757343980111/3125,5371840660452378/625
3,6,1,constant,0,84,84,0,True,True,84,45.5,4.268122241675,18.0,0.093804884432,33.5,51.5,67/2,103/2,18
3,6,2,constant,0,84,84,0,True,True,84,1451.45,136.153099509428,574.2,0.093804884432,1068.65,1642.85,21373/20,32857/20,2871/5
3,6,3,constant,0,84,84,0,True,True,84,57477.42,5391.662740573333,22738.32,0.093804884432,42318.54,65056.86,2115927/50,3252843/50,568458/25
3,6,4,constant,0,84,84,0,True,True,84,2730177.45,256103.98017723334,1080070.2,0.093804884432,2010130.65,3090200.85,40202613/20,61804017/20,5400351/5
3,6,5,constant,0,84,84,0,True,True,84,151797866.22,14239381.297854172,60051903.12,0.093804884432,111763264.14,171815167.26,5588163207/50,8590758363/50,1501297578/25
3,6,6,constant,0,84,84,0,True,True,84,9699883651.458,909896464.9328817,3837316609.368,0.093804884432,7141672578.546,10978989187.914,3570836289273/500,5489494593957/500,479664576171/125
3,6,7,constant,0,84,84,0,True,True,84,702271576365.5592,65876504061.140625,277821722518.2432,0.093804884432,517057094686.7304,794878817204.9736,646321368358413/1250,993598521506217/1250,173638576573902/625
3,6,8,constant,0,84,84,0,True,True,84,56954224843246.85,5342584479358.505,22531341696229.523,0.093804884432,41933330379093.836,64464672075323.36,524166629738672943/12500,805808400941541987/12500,70410442800717261/3125
3,7,1,constant,0,120,120,0,True,True,120,47.5,4.826397999239,21.0,0.101608378931,33.5,54.5,67/2,109/2,21
3,7,2,constant,0,120,120,0,True,True,120,1657.75,168.441290173443,732.9,0.101608378931,1169.15,1902.05,23383/20,38041/20,7329/10
3,7,3,constant,0,120,120,0,True,True,120,72277.9,7344.040251562129,31954.44,0.101608378931,50974.94,82929.38,2548747/50,4146469/50,798861/25
3,7,4,constant,0,120,120,0,True,True,120,3794589.75,385562.11320701166,1677608.1,0.101608378931,2676184.35,4353792.45,53523687/20,87075849/20,16776081/10
3,7,5,constant,0,120,120,0,True,True,120,233746728.6,23750626.173551913,103340658.96,0.101608378931,164852955.96,268193614.92,4121323899/25,6704840373/25,2583516474/25
3,7,6,constant,0,120,120,0,True,True,120,16572643057.74,1683919395.704831,7326852720.264,0.101608378931,11688074577.564,19014927297.828,2922018644391/250,4753731824457/250,915856590033/125
3,7,7,constant,0,120,120,0,True,True,120,1332440501842.296,135387119414.6684,589078958709.2256,0.101608378931,939721196036.1456,1528800154745.371,587325747522591/625,955500096715857/625,368174349193266/625
3,7,8,constant,0,120,120,0,True,True,120,120052889215990.88,12198379459261.623,53076014179701.23,0.101608378931,84668879762856.72,137744893942557.94,529180498517854491/6250,860905587140987157/6250,165862544311566333/3125
3,8,1,constant,0,165,165,0,True,True,165,49.5,5.382899753488,24.0,0.108745449565,33.5,57.5,67/2,115/2,24
3,8,2,constant,0,165,165,0,True,True,165,1876.05,204.011900657182,909.6,0.108745449565,1269.65,2179.25,25393/20,8717/4,4548/5
3,8,3,constant,0,165,165,0,True,True,165,89299.98,9710.966471281887,43296.96,0.108745449565,60435.34,103732.3,3021767/50,1037323/10,1082424/25
3,8,4,constant,0,165,165,0,True,True,165,5134748.85,558380.5720987085,2489575.2,0.108745449565,3475032.05,5964607.25,69500641/20,23858429/4,12447876/5
3,8,5,constant,0,165,165,0,True,True,165,347109022.26,37746526.6738727,168295283.52,0.108745449565,234912166.58,403207450.1,11745608329/50,4032074501/10,4207382088/25
3,8,6,constant,0,165,165,0,True,True,165,27039792834.054,2940454427.894683,13110202586.208,0.108745449565,18299657776.582,31409860362.79,9149828888291/500,3140986036279/100,1638775323276/125
3,8,7,constant,0,165,165,0,True,True,165,2390317686530.3735,259936171425.88995,1158941908620.787,0.108745449565,1617689747449.8489,2776631656070.636,2022112184312311/1250,694157914017659/250,724338692887992/625
3,8,8,constant,0,165,165,0,True,True,165,236880482735160.03,25759674588305.69,114851143144320.02,0.108745449565,160313053972280.03,275164197116600.03,2003913174653500201/12500,687910492791500069/2500,358909822326000036/3125
