body_length,observation_count,cap_degree,unique_permutations,exhaustive_feasible,exact_rational_arithmetic_used,exhaustive_min,exhaustive_max,exhaustive_range,exhaustive_exact_min,exhaustive_exact_max,exhaustive_exact_range,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,mismatch_if_both_available
2,0,1,1,True,True,21.1,21.1,0.0,211/10,211/10,0,1,21.1,21.1,0.0,211/10,211/10,0,False
2,0,2,1,True,True,261.64,261.64,0.0,6541/25,6541/25,0,1,261.64,261.64,0.0,6541/25,6541/25,0,False
2,0,3,1,True,True,3636.796,3636.796,0.0,909199/250,909199/250,0,1,3636.796,3636.796,0.0,909199/250,909199/250,0,False
2,0,4,1,True,True,56734.0176,56734.0176,0.0,35458761/625,35458761/625,0,1,56734.0176,56734.0176,0.0,35458761/625,35458761/625,0,False
2,0,5,1,True,True,992845.308,992845.308,0.0,248211327/250,248211327/250,0,1,992845.308,992845.308,0.0,248211327/250,248211327/250,0,False
2,1,1,3,True,True,21.1,22.1,1.0,211/10,221/10,1,3,21.1,22.1,1.0,211/10,221/10,1,False
2,1,2,3,True,True,303.84,318.24,14.4,7596/25,7956/25,72/5,3,303.84,318.24,14.4,7596/25,7956/25,72/5,False
2,1,3,3,True,True,5134.896,5378.256,243.36,641862/125,672282/125,6084/25,3,5134.896,5378.256,243.36,641862/125,672282/125,6084/25,False
2,1,4,3,True,True,100643.9616,105413.8176,4769.856,62902476/625,65883636/625,596232/125,3,100643.9616,105413.8176,4769.856,62902476/625,65883636/625,596232/125,False
2,1,5,3,True,True,2264489.136,2371810.896,107321.76,283061142/125,296476362/125,2683044/25,3,2264489.136,2371810.896,107321.76,283061142/125,296476362/125,2683044/25,False
2,2,1,6,True,True,21.1,23.1,2.0,211/10,231/10,2,6,21.1,23.1,2.0,211/10,231/10,2,False
2,2,2,6,True,True,346.04,378.84,32.8,8651/25,9471/25,164/5,6,346.04,378.84,32.8,8651/25,9471/25,164/5,False
2,2,3,6,True,True,6886.196,7538.916,652.72,1721549/250,1884729/250,16318/25,6,6886.196,7538.916,652.72,1721549/250,1884729/250,16318/25,False
2,2,4,6,True,True,162514.2256,177918.4176,15404.192,101571391/625,111199011/625,1925524/125,6,162514.2256,177918.4176,15404.192,101571391/625,111199011/625,1925524/125,False
2,2,5,6,True,True,4469141.204,4892756.484,423615.28,1117285301/250,1223189121/250,10590382/25,6,4469141.204,4892756.484,423615.28,1117285301/250,1223189121/250,10590382/25,False
2,3,1,10,True,True,21.1,24.1,3.0,211/10,241/10,3,10,21.1,24.1,3.0,211/10,241/10,3,False
2,3,2,10,True,True,388.24,443.44,55.2,9706/25,11086/25,276/5,10,388.24,443.44,55.2,9706/25,11086/25,276/5,False
2,3,3,10,True,True,8890.696,10154.776,1264.08,1111337/125,1269347/125,31602/25,10,8890.696,10154.776,1264.08,1111337/125,1269347/125,31602/25,False
2,3,4,10,True,True,245383.2096,280271.8176,34888.608,153364506/625,175169886/625,4361076/125,10,245383.2096,280271.8176,34888.608,153364506/625,175169886/625,4361076/125,False
2,3,5,10,True,True,7974954.312,9108834.072,1133879.76,996869289/125,1138604259/125,28346994/25,10,7974954.312,9108834.072,1133879.76,996869289/125,1138604259/125,28346994/25,False
2,4,1,15,True,True,21.1,25.1,4.0,211/10,251/10,4,15,21.1,25.1,4.0,211/10,251/10,4,False
2,4,2,15,True,True,430.44,512.04,81.6,10761/25,12801/25,408/5,15,430.44,512.04,81.6,10761/25,12801/25,408/5,False
2,4,3,15,True,True,11148.396,13261.836,2113.44,2787099/250,3315459/250,52836/25,15,11148.396,13261.836,2113.44,2787099/250,3315459/250,52836/25,False
2,4,4,15,True,True,352289.3136,419074.0176,66784.704,220180821/625,261921261/625,8348088/125,15,352289.3136,419074.0176,66784.704,220180821/625,261921261/625,8348088/125,False
2,4,5,15,True,True,13210849.26,15715275.66,2504426.4,660542463/50,785763783/50,12522132/5,15,13210849.26,15715275.66,2504426.4,660542463/50,785763783/50,12522132/5,False
2,5,1,21,True,True,21.1,26.1,5.0,211/10,261/10,5,21,21.1,26.1,5.0,211/10,261/10,5,False
2,5,2,21,True,True,472.64,584.64,112.0,11816/25,14616/25,112,21,472.64,584.64,112.0,11816/25,14616/25,112,False
2,5,3,21,True,True,13659.296,16896.096,3236.8,1707412/125,2112012/125,16184/5,21,13659.296,16896.096,3236.8,1707412/125,2112012/125,16184/5,False
2,5,4,21,True,True,486270.9376,601501.0176,115230.08,303919336/625,375938136/625,2880752/25,21,486270.9376,601501.0176,115230.08,303919336/625,375938136/625,2880752/25,False
2,5,5,21,True,True,20666514.848,25563793.248,4897278.4,2583314356/125,3195474156/125,24486392/5,21,20666514.848,25563793.248,4897278.4,2583314356/125,3195474156/125,24486392/5,False
3,0,1,1,True,True,33.5,33.5,0.0,67/2,67/2,0,1,33.5,33.5,0.0,67/2,67/2,0,False
3,0,2,1,True,True,465.65,465.65,0.0,9313/20,9313/20,0,1,465.65,465.65,0.0,9313/20,9313/20,0,False
3,0,3,1,True,True,7264.14,7264.14,0.0,363207/50,363207/50,0,1,7264.14,7264.14,0.0,363207/50,363207/50,0,False
3,0,4,1,True,True,127122.45,127122.45,0.0,2542449/20,2542449/20,0,1,127122.45,127122.45,0.0,2542449/20,2542449/20,0,False
