body_length,observation_count,cap_degree,unique_permutations,budget,seed,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,true_exhaustive_range,true_exhaustive_exact_range,absolute_error,exact_absolute_error,relative_error,sampled_extrema_matched_exact_extrema,exact_rational_arithmetic_used
5,3,2,56,8,17,8,2177.5,3022.5,845.0,4355/2,6045/2,845,975.0,975,130.0,130,0.133333333333,False,True
5,3,2,56,8,29,8,2275.0,2957.5,682.5,2275,5915/2,1365/2,975.0,975,292.5,585/2,0.3,False,True
5,3,2,56,8,43,8,2405.0,2957.5,552.5,2405,5915/2,1105/2,975.0,975,422.5,845/2,0.433333333333,False,True
5,3,2,56,8,71,8,2275.0,3022.5,747.5,2275,6045/2,1495/2,975.0,975,227.5,455/2,0.233333333333,False,True
5,3,2,56,8,101,8,2275.0,3022.5,747.5,2275,6045/2,1495/2,975.0,975,227.5,455/2,0.233333333333,False,True
5,3,2,56,16,17,16,2177.5,3022.5,845.0,4355/2,6045/2,845,975.0,975,130.0,130,0.133333333333,False,True
5,3,2,56,16,29,16,2275.0,2957.5,682.5,2275,5915/2,1365/2,975.0,975,292.5,585/2,0.3,False,True
5,3,2,56,16,43,16,2340.0,2957.5,617.5,2340,5915/2,1235/2,975.0,975,357.5,715/2,0.366666666667,False,True
5,3,2,56,16,71,16,2275.0,3022.5,747.5,2275,6045/2,1495/2,975.0,975,227.5,455/2,0.233333333333,False,True
5,3,2,56,16,101,16,2275.0,3022.5,747.5,2275,6045/2,1495/2,975.0,975,227.5,455/2,0.233333333333,False,True
5,3,2,56,32,17,32,2177.5,3022.5,845.0,4355/2,6045/2,845,975.0,975,130.0,130,0.133333333333,False,True
5,3,2,56,32,29,32,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,32,43,32,2275.0,3022.5,747.5,2275,6045/2,1495/2,975.0,975,227.5,455/2,0.233333333333,False,True
5,3,2,56,32,71,32,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,32,101,32,2275.0,3022.5,747.5,2275,6045/2,1495/2,975.0,975,227.5,455/2,0.233333333333,False,True
5,3,2,56,64,17,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,64,29,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,64,43,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,64,71,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,64,101,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,128,17,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,128,29,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,128,43,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,128,71,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,128,101,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,256,17,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
5,3,2,56,256,29,56,2047.5,3022.5,975.0,4095/2,6045/2,975,975.0,975,0.0,0,0.0,True,True
