axis,config,add_steps,inspects,nonlinear,n_valid,min,max,mean,std,range,log_range,cv,skewness,frac_inspect_early,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p100
A1,A1_inspect0,6,0,quadratic,100000,1577.8,1577.8,1577.8,0.0,0.0,0.0,0.0,0.0,0.0,1577.8,1577.8,1577.8,1577.8,1577.8,1577.8,1577.8,1577.8,1577.8,1577.8,1577.8
A1,A1_inspect1,6,1,quadratic,100000,1762.95,1973.19,1878.4327,70.6351,210.24,5.34825,0.037603,-0.267017,0.4257,1762.95,1762.95,1808.94,1850.55,1850.55,1887.78,1920.63,1920.63,1949.1,1973.19,1973.19
A1,A1_inspect2,6,2,quadratic,100000,1964.2,2461.96,2232.9213,125.5293,497.76,6.210118,0.056218,-0.159347,0.1067,1964.2,2061.8,2117.92,2169.16,2198.44,2247.24,2257.0,2305.8,2352.16,2403.4,2461.96
A1,A1_inspect3,6,3,quadratic,100000,2181.55,3059.59,2644.359,189.9506,878.04,6.777692,0.071832,-0.086444,0.0116,2181.55,2398.35,2474.23,2541.98,2593.47,2650.38,2696.45,2742.52,2815.69,2896.99,3059.59
A1,A1_inspect4,6,4,quadratic,100000,2415.0,3783.0,3123.3257,269.13,1368.0,7.221105,0.086168,-0.046444,0.0,2415.0,2772.0,2892.0,2979.0,3060.0,3132.0,3198.0,3273.0,3360.0,3477.0,3783.0
A1,A1_inspect5,6,5,quadratic,100000,2664.55,4650.55,3673.7662,365.7408,1986.0,7.593878,0.099555,-0.023493,0.0,2664.55,3194.15,3349.72,3472.19,3578.11,3674.1,3773.4,3872.7,3991.86,4150.74,4650.55
A2,A2_linear,6,1,linear,100000,80.5,90.1,85.8078,3.2187,9.6,2.261763,0.03751,-0.278511,0.4293,80.5,80.5,82.6,84.5,84.5,86.2,87.7,87.7,89.0,90.1,90.1
A2,A2_quadratic,6,1,quadratic,100000,1762.95,1973.19,1878.594,70.612,210.24,5.34825,0.037588,-0.269931,0.426,1762.95,1762.95,1808.94,1850.55,1850.55,1887.78,1920.63,1920.63,1949.1,1973.19,1973.19
A2,A2_cubic,6,1,cubic,100000,43015.98,48145.836,45846.5891,1722.0659,5129.856,8.542833,0.037561,-0.274241,0.4283,43015.98,43015.98,44138.136,45153.42,45153.42,46061.832,46863.372,46863.372,47558.04,48145.836,48145.836
A2,A2_extreme,6,1,extreme,100000,143856.72,179954.928,163526.5949,12098.2108,36098.208,10.493999,0.073983,-0.236617,0.4279,143856.72,143856.72,151408.278,158407.08,158407.08,164803.194,170551.944,170551.944,175613.91,179954.928,179954.928
A3,A3_steps3,3,1,quadratic,100000,522.6,583.44,554.6033,22.7408,60.84,4.108247,0.041004,-0.165376,0.5006,522.6,522.6,522.6,546.0,546.0,566.28,566.28,566.28,583.44,583.44,583.44
A3,A3_steps6,6,1,quadratic,100000,1762.95,1973.19,1879.1609,70.4405,210.24,5.34825,0.037485,-0.277459,0.4284,1762.95,1762.95,1808.94,1850.55,1850.55,1887.78,1920.63,1920.63,1949.1,1973.19,1973.19
A3,A3_steps9,9,1,quadratic,100000,4392.0,4905.0,4684.4748,165.2084,513.0,6.240276,0.035267,-0.343183,0.4994,4392.0,4392.0,4548.0,4548.0,4617.0,4680.0,4737.0,4833.0,4872.0,4905.0,4905.0
A3,A3_steps12,12,1,quadratic,100000,9440.34,10493.7,10056.7614,331.8286,1053.36,6.95974,0.032996,-0.401486,0.4649,9440.34,9572.01,9695.7,9811.41,10018.89,10110.66,10194.45,10338.09,10397.94,10449.81,10493.7
A3,A3_steps15,15,1,quadratic,100000,18395.4,20330.4,19545.413,601.1108,1935.0,7.567863,0.030755,-0.425917,0.5004,18395.4,18596.64,18968.16,19138.44,19448.04,19716.36,19835.04,20041.44,20129.16,20273.64,20330.4
A3,A3_steps20,20,1,quadratic,100000,47838.7,52344.7,50570.6331,1382.2087,4506.0,8.413165,0.027332,-0.462212,0.4754,47838.7,48559.66,49220.54,49821.34,50362.06,50842.7,51263.26,51623.74,51924.14,52164.46,52344.7
A4,A4_low,3,0,linear,100000,33.5,33.5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
A4,A4_medium,9,2,quadratic,100000,4845.84,6037.44,5511.0716,283.9105,1191.6,7.083052,0.051516,-0.204109,0.1823,4845.84,5113.95,5259.59,5362.2,5428.4,5507.84,5597.21,5679.96,5759.4,5888.49,6037.44
A4,A4_high,20,5,extreme,100000,39630795.75,93171360.75,67869094.4327,8209836.4097,53540565.0,17.79595,0.120966,-0.008947,0.0046,39630795.75,57186277.2,60718848.45,63378779.1,65678950.35,67873612.95,70038218.25,72354340.5,75049915.2,78580589.1,93171360.75
A4,A4_max_inspect_only,6,5,quadratic,100000,2664.55,4650.55,3673.1299,366.7845,1986.0,7.593878,0.099856,-0.019592,0.0,2664.55,3194.15,3343.1,3475.5,3578.11,3674.1,3773.4,3872.7,3991.86,4150.74,4650.55
A4,A4_max_nonlin_only,6,1,extreme,100000,143856.72,179954.928,163516.2758,12142.4115,36098.208,10.493999,0.074258,-0.239092,0.4297,143856.72,143856.72,151408.278,158407.08,158407.08,164803.194,170551.944,170551.944,175613.91,179954.928,179954.928
A4,A4_max_length_only,20,1,quadratic,100000,47838.7,52344.7,50567.0935,1384.854,4506.0,8.413165,0.027386,-0.460639,0.476,47838.7,48559.66,49220.54,49821.34,50362.06,50842.7,51263.26,51623.74,51924.14,52164.46,52344.7
