experiment,config,nonlinearity,degree,steps,inspects,mean,std,min,max,range,log_range,n,sle_e1,r2_e1
E1,e1_linear,linear,1,6,1,90.5062,5.2786,80.5,95.5,15.0,2.70805,100000,1.899453,0.54198
E1,e1_quadratic,quadratic,2,6,1,2316.4237,135.7884,2060.8,2444.8,384.0,5.950643,100000,1.899453,0.54198
E1,e1_cubic,cubic,3,6,1,66937.4309,3916.3004,59557.12,70654.72,11097.6,9.314484,100000,1.899453,0.54198
E1,e1_extreme,extreme,4,6,1,210336.9436,24029.156,165894.4,233478.4,67584.0,11.121127,100000,1.899453,0.54198
E1,e1_degree_5,degree_5,5,6,1,78308221.0074,4585251.0167,69660389.8368,82640586.7008,12980196.864,16.378935,100000,1.899453,0.54198
E1,e1_degree_6,degree_6,6,6,1,3131904128.2531,183310718.3463,2786415593.472,3305623468.032,519207874.56,20.067815,100000,1.899453,0.54198
E1,e1_degree_7,degree_7,7,6,1,138121246175.1831,8086938932.0615,122880927672.1153,145777994940.2113,22897067268.096,23.854275,100000,1.899453,0.54198
E1,e1_degree_8,degree_8,8,6,1,6685512340913.21,391062156837.5952,5947436899330.383,7055654955106.23,1108218055775.8477,27.733774,100000,1.899453,0.54198
E1,e1_self_ref_yyx2,self_ref_yyx2,9,6,1,6079121.1444,693076.6021,4794348.16,6747525.76,1953177.6,14.484968,100000,1.899453,0.54198
E1,e1_self_ref_yyy_x,self_ref_yyy_x,10,6,1,19163935.1651,3194511.5281,13354499.2,22297187.2,8942688.0,16.006347,100000,1.899453,0.54198
