degree,nonlinearity,log_range,range,sle,r2
1,linear,2.70805,15.0,1.899453,0.54198
2,quadratic,5.950643,384.0,1.899453,0.54198
3,cubic,9.314484,11097.6,1.899453,0.54198
4,extreme,11.121127,67584.0,1.899453,0.54198
5,degree_5,16.378935,12980196.864,1.899453,0.54198
6,degree_6,20.067815,519207874.56,1.899453,0.54198
7,degree_7,23.854275,22897067268.096,1.899453,0.54198
8,degree_8,27.733774,1108218055775.8477,1.899453,0.54198
9,self_ref_yyx2,14.484968,1953177.6,1.899453,0.54198
10,self_ref_yyy_x,16.006347,8942688.0,1.899453,0.54198
