experiment,config,nonlinearity,steps,inspects,initial_entropy,entropy_increment,mean,std,min,max,range,log_range,n
E2,e2_e0_0p25_de_0p02,quadratic,6,1,0.25,0.02,1363.7038,96.3224,1181.567,1454.867,273.3,5.61057,100000
E2,e2_e0_0p25_de_0p05,quadratic,6,1,0.25,0.05,1476.2597,102.1783,1283.45,1572.95,289.5,5.668155,100000
E2,e2_e0_0p25_de_0p1,quadratic,6,1,0.25,0.1,1672.5058,111.4985,1461.175,1777.675,316.5,5.757323,100000
E2,e2_e0_0p25_de_0p2,quadratic,6,1,0.25,0.2,2093.2319,131.0281,1846.325,2216.825,370.5,5.914853,100000
E2,e2_e0_0p25_de_0p5,quadratic,6,1,0.25,0.5,3594.1851,188.2235,3239.375,3771.875,532.5,6.277583,100000
E2,e2_e0_0p5_de_0p02,quadratic,6,1,0.5,0.02,1549.9545,104.3686,1352.792,1648.592,295.8,5.689684,100000
E2,e2_e0_0p5_de_0p05,quadratic,6,1,0.5,0.05,1669.1661,110.2988,1461.2,1773.2,312.0,5.743003,100000
E2,e2_e0_0p5_de_0p1,quadratic,6,1,0.5,0.1,1876.0988,119.438,1649.8,1988.8,339.0,5.826,100000
E2,e2_e0_0p5_de_0p2,quadratic,6,1,0.5,0.2,2318.58,138.5483,2056.7,2449.7,393.0,5.97381,100000
E2,e2_e0_0p5_de_0p5,quadratic,6,1,0.5,0.5,3885.7781,195.0891,3515.0,4070.0,555.0,6.318968,100000
E2,e2_e0_1p0_de_0p02,quadratic,6,1,1.0,0.02,1956.6478,120.0644,1728.992,2069.792,340.8,5.831296,100000
E2,e2_e0_1p0_de_0p05,quadratic,6,1,1.0,0.05,2088.7646,125.7799,1850.45,2207.45,357.0,5.877736,100000
E2,e2_e0_1p0_de_0p1,quadratic,6,1,1.0,0.1,2316.7583,135.7523,2060.8,2444.8,384.0,5.950643,100000
E2,e2_e0_1p0_de_0p2,quadratic,6,1,1.0,0.2,2803.351,154.5784,2511.2,2949.2,438.0,6.082219,100000
E2,e2_e0_1p0_de_0p5,quadratic,6,1,1.0,0.5,4499.3844,211.9885,4100.0,4700.0,600.0,6.39693,100000
E2,e2_e0_2p0_de_0p02,quadratic,6,1,2.0,0.02,2904.2798,151.5648,2616.392,3047.192,430.8,6.065644,100000
E2,e2_e0_2p0_de_0p05,quadratic,6,1,2.0,0.05,3061.8135,157.5854,2763.95,3210.95,447.0,6.102559,100000
E2,e2_e0_2p0_de_0p1,quadratic,6,1,2.0,0.1,3333.9634,167.2834,3017.8,3491.8,474.0,6.161207,100000
E2,e2_e0_2p0_de_0p2,quadratic,6,1,2.0,0.2,3907.1426,186.6594,3555.2,4083.2,528.0,6.269096,100000
E2,e2_e0_2p0_de_0p5,quadratic,6,1,2.0,0.5,5866.07,243.2371,5405.0,6095.0,690.0,6.536692,100000
E2,e2_e0_4p0_de_0p02,quadratic,6,1,4.0,0.02,5338.5699,215.3748,4931.192,5541.992,610.8,6.41477,100000
E2,e2_e0_4p0_de_0p05,quadratic,6,1,4.0,0.05,5549.1185,221.1779,5130.95,5757.95,627.0,6.440947,100000
E2,e2_e0_4p0_de_0p1,quadratic,6,1,4.0,0.1,5907.2027,231.1596,5471.8,6125.8,654.0,6.483107,100000
E2,e2_e0_4p0_de_0p2,quadratic,6,1,4.0,0.2,6654.5906,250.2352,6183.2,6891.2,708.0,6.562444,100000
E2,e2_e0_4p0_de_0p5,quadratic,6,1,4.0,0.5,9134.5551,307.4037,8555.0,9425.0,870.0,6.768493,100000
