experiment,config,schedule,beta,nonlinearity,steps,inspects,mean,std,min,max,range,log_range,n,gamma_collapse,r2_gamma
E4,e4_exponential_decay_beta_0p0_steps_6,exponential_decay,0.0,quadratic,6,1,2316.9277,135.6469,2060.8,2444.8,384.0,5.950643,100000,3.330216,0.998566
E4,e4_exponential_decay_beta_0p0_steps_12,exponential_decay,0.0,quadratic,12,1,13578.4162,1041.5506,11451.44,14645.84,3194.4,8.069155,100000,3.330216,0.998566
E4,e4_exponential_decay_beta_0p0_steps_20,exponential_decay,0.0,quadratic,20,1,68736.1005,5382.1163,57330.0,74430.0,17100.0,9.746834,100000,3.330216,0.998566
E4,e4_exponential_decay_beta_0p0_steps_50,exponential_decay,0.0,quadratic,50,1,2370553.1208,134394.8658,2076300.0,2517300.0,441000.0,12.9968,100000,3.330216,0.998566
E4,e4_exponential_decay_beta_0p05_steps_6,exponential_decay,0.05,quadratic,6,1,2249.4409,132.4568,1998.9592,2374.4553,375.4961,5.928248,100000,3.059281,0.999871
E4,e4_exponential_decay_beta_0p05_steps_12,exponential_decay,0.05,quadratic,12,1,12038.5814,957.4823,10078.3018,13019.266,2940.9642,7.986493,100000,3.059281,0.999871
E4,e4_exponential_decay_beta_0p05_steps_20,exponential_decay,0.05,quadratic,20,1,51394.9383,4462.3947,41940.2158,56125.2299,14185.0142,9.559941,100000,3.059281,0.999871
E4,e4_exponential_decay_beta_0p05_steps_50,exponential_decay,0.05,quadratic,50,1,873723.308,74565.3182,710758.9395,955165.8375,244406.898,12.40659,100000,3.059281,0.999871
E4,e4_exponential_decay_beta_0p1_steps_6,exponential_decay,0.1,quadratic,6,1,2194.6961,129.7685,1948.6963,2317.3067,368.6104,5.90974,100000,2.953902,0.999969
E4,e4_exponential_decay_beta_0p1_steps_12,exponential_decay,0.1,quadratic,12,1,11015.7552,903.3977,9170.2905,11940.5331,2770.2426,7.92669,100000,2.953902,0.999969
E4,e4_exponential_decay_beta_0p1_steps_20,exponential_decay,0.1,quadratic,20,1,42657.027,3989.475,34255.1141,46879.2914,12624.1773,9.443369,100000,2.953902,0.999969
E4,e4_exponential_decay_beta_0p1_steps_50,exponential_decay,0.1,quadratic,50,1,568401.3437,58840.5176,440026.7787,632622.9037,192596.125,12.168351,100000,2.953902,0.999969
E4,e4_exponential_decay_beta_0p2_steps_6,exponential_decay,0.2,quadratic,6,1,2112.6151,126.2817,1873.5922,2231.9986,358.4064,5.881667,100000,2.885828,0.999951
E4,e4_exponential_decay_beta_0p2_steps_12,exponential_decay,0.2,quadratic,12,1,9820.1414,837.1882,8108.347,10677.6146,2569.2676,7.851376,100000,2.885828,0.999951
E4,e4_exponential_decay_beta_0p2_steps_20,exponential_decay,0.2,quadratic,20,1,34871.3119,3527.0343,27413.6583,38598.5517,11184.8935,9.322319,100000,2.885828,0.999951
E4,e4_exponential_decay_beta_0p2_steps_50,exponential_decay,0.2,quadratic,50,1,408918.7519,49477.2255,300569.5878,462982.8472,162413.2594,11.997899,100000,2.885828,0.999951
E4,e4_exponential_decay_beta_0p5_steps_6,exponential_decay,0.5,quadratic,6,1,1986.8747,121.2237,1758.3637,2101.5464,343.1827,5.838263,100000,2.850619,0.999887
E4,e4_exponential_decay_beta_0p5_steps_12,exponential_decay,0.5,quadratic,12,1,8586.4898,770.8353,7010.7169,9376.5006,2365.7837,7.768865,100000,2.850619,0.999887
E4,e4_exponential_decay_beta_0p5_steps_20,exponential_decay,0.5,quadratic,20,1,28934.564,3173.0958,22224.9849,32310.726,10085.7412,9.218878,100000,2.850619,0.999887
E4,e4_exponential_decay_beta_0p5_steps_50,exponential_decay,0.5,quadratic,50,1,321366.716,43866.4378,225201.3594,369393.0106,144191.6513,11.878899,100000,2.850619,0.999887
E4,e4_exponential_decay_beta_1p0_steps_6,exponential_decay,1.0,quadratic,6,1,1918.3386,118.3032,1694.4695,2029.6943,335.2248,5.814801,100000,2.84221,0.999871
E4,e4_exponential_decay_beta_1p0_steps_12,exponential_decay,1.0,quadratic,12,1,8110.4392,745.5955,6585.3155,8875.4078,2290.0923,7.736347,100000,2.84221,0.999871
E4,e4_exponential_decay_beta_1p0_steps_20,exponential_decay,1.0,quadratic,20,1,26997.8386,3053.991,20516.9488,30238.0999,9721.1511,9.182059,100000,2.84221,0.999871
E4,e4_exponential_decay_beta_1p0_steps_50,exponential_decay,1.0,quadratic,50,1,295088.7381,42146.8685,202813.0872,341127.6946,138314.6073,11.837286,100000,2.84221,0.999871
