experiment,config,steps,inspects,nonlinearity,mean,std,min,max,range,log_range,n,marginal_std,legacy_nondecreasing,alpha_fit,r2_alpha_fit
E5,e5_steps_3,3,1,quadratic,599.8723,20.7277,566.15,616.85,50.7,3.925926,100000,,True,3.272676,0.995774
E5,e5_steps_6,6,1,quadratic,2316.1956,135.8717,2060.8,2444.8,384.0,5.950643,100000,115.144,True,3.272676,0.995774
E5,e5_steps_9,9,1,quadratic,6151.1822,435.1812,5285.04,6584.64,1299.6,7.169812,100000,299.3095,True,3.272676,0.995774
E5,e5_steps_12,12,1,quadratic,13575.6119,1042.8953,11451.44,14645.84,3194.4,8.069155,100000,607.7141,True,3.272676,0.995774
E5,e5_steps_15,15,1,quadratic,26662.2175,2098.1693,22281.25,28843.75,6562.5,8.789127,100000,1055.274,True,3.272676,0.995774
E5,e5_steps_20,20,1,quadratic,68700.8853,5388.2448,57330.0,74430.0,17100.0,9.746834,100000,3290.0755,True,3.272676,0.995774
E5,e5_steps_25,25,1,quadratic,151902.6325,11444.3752,127400.0,164150.0,36750.0,10.511894,100000,6056.1304,True,3.272676,0.995774
E5,e5_steps_30,30,1,quadratic,300841.6944,21540.6736,254480.0,324080.0,69600.0,11.15052,100000,10096.2984,True,3.272676,0.995774
E5,e5_steps_40,40,1,quadratic,938805.93,59721.5775,808500.0,1003500.0,195000.0,12.180755,100000,38180.9039,True,3.272676,0.995774
E5,e5_steps_50,50,1,quadratic,2370162.7224,134451.5882,2076300.0,2517300.0,441000.0,12.9968,100000,74730.0107,True,3.272676,0.995774
E5,e5_steps_75,75,1,quadratic,13844471.9263,604566.5288,12504668.75,14509606.25,2004937.5,14.511123,100000,470114.9406,True,3.272676,0.995774
E5,e5_steps_100,100,1,quadratic,50916013.258,1809172.2574,46929850.0,52919350.0,5989500.0,15.605518,100000,1204605.7286,True,3.272676,0.995774
