ablation,alpha_fit,beta,config,degree,entropy_increment,experiment,gamma_collapse,initial_entropy,inspects,legacy_nondecreasing,log_range,marginal_std,max,mean,min,n,nonlinearity,r2_alpha_fit,r2_e1,r2_gamma,range,schedule,sle_e1,source,std,steps
,,,e1_linear,1,,E1,,,1,,2.70805,,95.5,90.5062,80.5,100000,linear,,0.54198,,15.0,,1.899453,E1,5.2786,6
,,,e1_quadratic,2,,E1,,,1,,5.950643,,2444.8,2316.4237,2060.8,100000,quadratic,,0.54198,,384.0,,1.899453,E1,135.7884,6
,,,e1_cubic,3,,E1,,,1,,9.314484,,70654.72,66937.4309,59557.12,100000,cubic,,0.54198,,11097.6,,1.899453,E1,3916.3004,6
,,,e1_extreme,4,,E1,,,1,,11.121127,,233478.4,210336.9436,165894.4,100000,extreme,,0.54198,,67584.0,,1.899453,E1,24029.156,6
,,,e1_degree_5,5,,E1,,,1,,16.378935,,82640586.7008,78308221.0074,69660389.8368,100000,degree_5,,0.54198,,12980196.864,,1.899453,E1,4585251.0167,6
,,,e1_degree_6,6,,E1,,,1,,20.067815,,3305623468.032,3131904128.2531,2786415593.472,100000,degree_6,,0.54198,,519207874.56,,1.899453,E1,183310718.3463,6
,,,e1_degree_7,7,,E1,,,1,,23.854275,,145777994940.2113,138121246175.1831,122880927672.1153,100000,degree_7,,0.54198,,22897067268.096,,1.899453,E1,8086938932.0615,6
,,,e1_degree_8,8,,E1,,,1,,27.733774,,7055654955106.23,6685512340913.21,5947436899330.383,100000,degree_8,,0.54198,,1108218055775.8477,,1.899453,E1,391062156837.5952,6
,,,e1_self_ref_yyx2,9,,E1,,,1,,14.484968,,6747525.76,6079121.1444,4794348.16,100000,self_ref_yyx2,,0.54198,,1953177.6,,1.899453,E1,693076.6021,6
,,,e1_self_ref_yyy_x,10,,E1,,,1,,16.006347,,22297187.2,19163935.1651,13354499.2,100000,self_ref_yyy_x,,0.54198,,8942688.0,,1.899453,E1,3194511.5281,6
