axis,config,cv,degree,log_range,max,mean,min,n,nonlinearity,observes,r_squared,range,sle,source,std,steps
A1_reactive,obs_0,0.0,,0.0,1577.8,1577.8,1577.8,100000,quadratic,0,,0.0,,A1,0.0,6
A1_reactive,obs_1,0.058488,,5.950643,2444.8,2317.1694,2060.8,100000,quadratic,1,,384.0,,A1,135.5255,6
A1_reactive,obs_2,0.079035,,6.854355,3491.8,3175.2881,2543.8,100000,quadratic,2,,948.0,,A1,250.9598,6
A1_reactive,obs_3,0.092553,,7.433667,4718.8,4157.2741,3026.8,100000,quadratic,3,,1692.0,,A1,384.7695,6
A1_reactive,obs_4,0.102311,,7.869402,6125.8,5255.7398,3509.8,100000,quadratic,4,,2616.0,,A1,537.7217,6
A1_reactive,obs_5,0.11079,,8.221479,7712.8,6473.7062,3992.8,100000,quadratic,5,,3720.0,,A1,717.2206,6
A2_reactive,linear,0.058323,1,2.70805,95.5,90.5062,80.5,100000,linear,1,0.984208,15.0,2.860307,A2,5.2786,6
A2_reactive,quadratic,0.058266,2,5.950643,2444.8,2317.4418,2060.8,100000,quadratic,1,0.984208,384.0,2.860307,A2,135.0286,6
A2_reactive,cubic,0.058344,3,9.314484,70654.72,66963.3327,59557.12,100000,cubic,1,0.984208,11097.6,2.860307,A2,3906.8867,6
A2_reactive,extreme,0.114572,4,11.121127,233478.4,210195.177,165894.4,100000,extreme,1,0.984208,67584.0,2.860307,A2,24082.4703,6
A3_reactive,steps_3,0.034475,,3.925926,616.85,599.9897,566.15,100000,quadratic,1,,50.7,,A3,20.6847,3
A3_reactive,steps_6,0.058362,,5.950643,2444.8,2316.7821,2060.8,100000,quadratic,1,,384.0,,A3,135.2131,6
A3_reactive,steps_9,0.070716,,7.169812,6584.64,6151.3855,5285.04,100000,quadratic,1,,1299.6,,A3,435.0031,9
A3_reactive,steps_12,0.076719,,8.069155,14645.84,13579.4936,11451.44,100000,quadratic,1,,3194.4,,A3,1041.7997,12
A3_reactive,steps_15,0.078877,,8.789127,28843.75,26648.0475,22281.25,100000,quadratic,1,,6562.5,,A3,2101.9069,15
A3_reactive,steps_20,0.078422,,9.746834,74430.0,68718.9996,57330.0,100000,quadratic,1,,17100.0,,A3,5389.1063,20
